split,model,with_sentiment,horizon,mae,mse,rmse,smape,r2
train,enet_mo_30,True,30,0.008019650821081836,0.00015733069985326623,0.012543153505130447,1.6247656682415792,0.024794198254804032
val,enet_mo_30,True,30,0.0068414438562768,8.808116431370015e-05,0.009385156595054775,1.6528420549496738,-0.03616388531560239
test,enet_mo_30,True,30,0.007626522045376102,9.965307508133635e-05,0.00998263868330094,1.6466353385376835,-0.021217149103601875
