split,model,with_sentiment,horizon,mae,mse,rmse,smape,r2
train,enet_mo_1,True,1,0.008337376418682464,0.00017033498748794028,0.013051244671982067,1.616317720983088,0.03669661700724014
val,enet_mo_1,True,1,0.005964411657187117,6.1549661336408e-05,0.0078453592229042,1.6330262726536753,-0.03178844037710693
test,enet_mo_1,True,1,0.008402049146903682,0.00012480651864675495,0.011171683787449184,1.6233507962959322,-0.037967630061657154
