split,model,with_sentiment,horizon,mae,mse,rmse,smape,r2
train,enet_mo_wo_sent_30,False,30,0.008027550184602092,0.00015874473501981687,0.012599394232256441,1.6747890851657754,0.016000753416059475
val,enet_mo_wo_sent_30,False,30,0.006771246391484347,8.685403160719026e-05,0.009319551041074363,1.6931874685466084,-0.021117558397739673
test,enet_mo_wo_sent_30,False,30,0.007588156886053157,9.931389185176766e-05,0.009965635546806217,1.6924774530050923,-0.01721169199826683
